month_date,grade,total_ecl_dcf,total_balance,ecl_rate_dcf
2020-10-01,B,8622584.506773768,1066449.1780794582,8.085321536186061
2020-10-01,C,14450133.508532181,1572050.2236579754,9.191903217257542
2020-10-01,D,8037298.451728983,1315397.7129950298,6.1101660526905235
2020-10-01,E,4644704.297972105,1109032.9622442413,4.188066952106701
2020-10-01,F,2000441.8927266288,470654.5294686019,4.250340254847332
2020-10-01,G,751210.5101926909,379472.81958045956,1.9796161185489383
2020-11-01,A,3383428.1186881554,265337.2094727156,12.751427232583714
2020-11-01,B,7956729.031352584,995774.7725180446,7.990490672134797
2020-11-01,C,13599348.7519522,1476740.2262287454,9.209032509855714
2020-11-01,D,7538088.654974838,1233956.439248454,6.108877441059378
2020-11-01,E,4306996.921364795,1045483.0303688007,4.119623940567907
2020-11-01,F,1891285.154452958,441900.2130571303,4.279891927113524
2020-11-01,G,723334.771228213,362166.10444506217,1.9972459110621639
2020-12-01,A,3050429.831428473,233594.55247821464,13.058651407176802
2020-12-01,B,7337821.460709179,928765.4506760195,7.900618455787956
2020-12-01,C,12772097.256193554,1385804.7298113378,9.216375858330586
2020-12-01,D,6990389.863722838,1160296.7727556487,6.024656818721473
2020-12-01,E,3953352.9524715096,988209.7661043515,4.000520019202127
2020-12-01,F,1766916.5060829816,413534.7515364251,4.272715895141276
2020-12-01,G,693037.3835463248,344423.862973199,2.0121642489105143
2021-01-01,A,2694058.556455273,205140.34008740948,13.132758555959036
2021-01-01,B,6778724.289409829,863225.0888266962,7.852788776822435
2021-01-01,C,12019084.99781198,1298459.9791944146,9.256415438594276
2021-01-01,D,6530967.656231998,1088462.2800284158,6.000178211101167
2021-01-01,E,3622163.57046709,933036.7118986307,3.8821233122717875
2021-01-01,F,1635951.0350495724,387746.5052111861,4.21912515796513
2021-01-01,G,658037.3214830109,326714.3310483606,2.014106082740544
2021-02-01,A,2410436.267037751,181520.37542218014,13.27914985538983
2021-02-01,B,6247612.045133838,799041.0503211025,7.818887455936306
2021-02-01,C,11266407.400478574,1215095.9095535874,9.272031377850432
2021-02-01,D,6089254.199285826,1019991.3255839018,5.9699078281866615
2021-02-01,E,3305171.6544016483,878819.2062591249,3.7609233285544508
2021-02-01,F,1498352.2915943349,362043.6800544071,4.138595352276736
2021-02-01,G,617851.8326426023,309260.8583293294,1.9978339191720693
2021-03-01,A,1995414.6448818059,158509.84715989386,12.588584751261342
2021-03-01,B,5561516.932201417,737580.0196627231,7.540221784674373
2021-03-01,C,10270034.76318042,1134622.3960200166,9.051500128329248
2021-03-01,D,5520910.193659927,955034.710654799,5.780847682357674
2021-03-01,E,2879915.855020571,826608.9161412774,3.4840125708592753
2021-03-01,F,1311924.2057918236,338694.07158122,3.8734785042649307
2021-03-01,G,571358.662226395,292224.6584542735,1.9552034563017537
