month_date,grade,total_ecl_simple,total_balance,loan_count,ecl_rate_simple
2018-02-01,E,4263484.998368395,313807668.69603974,27860,0.013586299583067517
2018-02-01,F,2015125.2690034348,116972862.6557583,8751,0.017227288648425966
2018-02-01,G,909604.67711848,48741158.26217919,3057,0.018661942176788397
2018-03-01,A,568029.3897363582,500345400.91039205,80477,0.001135274529760468
2018-03-01,B,3026301.732059708,884950144.1204575,130548,0.00341974262862855
2018-03-01,C,7227565.6142880125,1087141046.661875,131037,0.006648231741852303
2018-03-01,D,5918404.343374103,584684470.7177411,61261,0.010122390177575347
2018-03-01,E,3976321.334904112,291013252.358436,26137,0.013663712228495167
2018-03-01,F,1856194.0662260621,107478603.26455912,8123,0.017270359028178205
2018-03-01,G,841624.8614799691,45053144.029236585,2866,0.018680713180279026
2018-04-01,A,521598.3500958374,457007322.3526292,74793,0.0011413347764554402
2018-04-01,B,2798332.081372799,810067018.9945649,121281,0.003454445145595508
2018-04-01,C,6673239.866694583,995662465.4743708,121451,0.0067023113736794345
2018-04-01,D,5495933.479319032,538981407.08109,56984,0.01019688881121676
2018-04-01,E,3637917.793456362,264545761.0051814,24051,0.013751563357634408
2018-04-01,F,1674323.8395688143,96704182.00666955,7408,0.017313872107964663
2018-04-01,G,770600.2763138001,41021405.84937516,2642,0.018785320989322896
2018-05-01,A,483153.90614658006,422092538.7681508,70290,0.001144663460663467
2018-05-01,B,2601721.6473758603,746937364.9735321,113773,0.0034831858324132076
2018-05-01,C,6215754.683091861,919700834.1404743,113690,0.0067584528059071785
2018-05-01,D,5155390.082707825,501973301.110332,53562,0.010270247583495856
2018-05-01,E,3341801.112848759,241567185.0084614,22301,0.013833837210677873
2018-05-01,F,1519083.44251706,87388555.47534105,6810,0.017383093635707354
2018-05-01,G,711522.7662237452,37603609.2837501,2456,0.018921661504743382
2018-06-01,A,442300.9638975095,384258435.8455464,65129,0.001151050758129077
2018-06-01,B,2364728.600831019,674134351.4402637,105410,0.003507800182232016
2018-06-01,C,5677222.209457616,833695413.7000682,104834,0.006809707857527047
2018-06-01,D,4748239.523144091,458723190.68254906,49525,0.010350990792680509
2018-06-01,E,3029682.585688206,218246344.42130384,20441,0.013881939666488487
2018-06-01,F,1371889.9777724817,78567237.38127528,6220,0.017461349329554517
2018-06-01,G,647655.858306263,34013676.873403355,2238,0.019041042246529097
2018-07-01,A,399997.1599267761,345146309.3719486,59584,0.0011589205767682633
2018-07-01,B,2121245.611527911,600012667.1524972,96373,0.0035353347148399158
2018-07-01,C,5125441.926243971,747855983.845896,95644,0.0068535146297634296
2018-07-01,D,4339101.626544253,416689950.0057858,45488,0.010413262010480463
2018-07-01,E,2717148.379496291,195372295.91839692,18569,0.013907541838128314
2018-07-01,F,1236054.5788730395,70847832.70159175,5662,0.017446611021670236
2018-07-01,G,574232.1537050883,30145077.897964235,2009,0.019048952391125435
2018-08-01,A,354761.43274610495,304242448.0219933,53625,0.0011660484427881664
2018-08-01,B,1881218.6693963273,526431916.9073781,86751,0.0035735270012652257
2018-08-01,C,4576267.725912583,662118235.6764024,86104,0.006911556696875429
2018-08-01,D,3922992.575677397,374151001.4032325,41332,0.010485051652847197
2018-08-01,E,2422241.7159435735,173095929.11663967,16736,0.013993637680013608
2018-08-01,F,1108785.3051315378,63307182.463264845,5142,0.017514368227885213
2018-08-01,G,507884.1675766554,26543107.824756924,1789,0.019134314298454105
2018-09-01,A,306900.1086846021,261459682.10812446,47016,0.0011737951572880982
2018-09-01,B,1615678.8670085566,446644571.25920486,75441,0.003617370434960278
2018-09-01,C,3955093.2935751793,567565722.8953637,75220,0.006968520356371731
2018-09-01,D,3446895.353551305,326488294.05959964,36452,0.010557485264455095
2018-09-01,E,2099575.7787505044,149005966.56089693,14716,0.014090548366681901
2018-09-01,F,960712.9415686814,54802085.72298672,4499,0.017530590832343276
2018-09-01,G,440682.9309631489,22954196.820019078,1569,0.01919835986501673
2018-10-01,A,267025.52385908266,225251275.78350854,41840,0.0011854562107595954
2018-10-01,B,1399196.3268395888,382971233.6607887,67063,0.003653528526058714
2018-10-01,C,3455605.7339600036,490842395.7628531,66616,0.007040153344108348
2018-10-01,D,3058247.695017703,287268459.4524634,32749,0.010645957098272306
2018-10-01,E,1847446.757931215,130621927.91988122,13132,0.014143465705577184
2018-10-01,F,835617.1198553642,47543757.69488143,3955,0.01757574832889843
2018-10-01,G,390801.5093011368,20306780.976536665,1411,0.019244877351692804
2018-11-01,A,221793.74582604432,184358223.6549992,35063,0.001203058596621654
