month_date,ftr,grade
2014-02-01,0.005450468178266199,D
2014-03-01,0.004046854157747219,D
2014-04-01,0.004321868723169379,D
2014-05-01,0.004350285873802321,D
2014-06-01,0.004280790338743064,D
2014-07-01,0.005522728463974175,D
2014-08-01,0.005043006138520968,D
2014-09-01,0.00493711655680286,D
2014-10-01,0.005297352989935412,D
2014-11-01,0.0058865300472704975,D
2014-12-01,0.004429966679725256,D
2015-01-01,0.005650553085982993,D
2015-02-01,0.005620191851709806,D
2015-03-01,0.004986472141605305,D
2015-04-01,0.005695946103700015,D
2015-05-01,0.006171162792449179,D
2015-06-01,0.0061177001283509395,D
2015-07-01,0.006680639809253304,D
2015-08-01,0.008023944403812973,D
2015-09-01,0.008050842990942888,D
2015-10-01,0.008421038752636341,D
2015-11-01,0.00887964605076028,D
2015-12-01,0.007062898889362279,D
2016-01-01,0.00761352152101247,D
2016-02-01,0.007452854561439565,D
2016-03-01,0.007881878572929298,D
2016-04-01,0.009628764167204382,D
2016-05-01,0.008649482023931069,D
2016-06-01,0.01086210117488262,D
2016-07-01,0.011703705036135527,D
2016-08-01,0.012563267741260159,D
2016-09-01,0.012930210411330464,D
2016-10-01,0.013428954000032337,D
2016-11-01,0.01328930270849699,D
2016-12-01,0.012100462043121794,D
2017-01-01,0.012577591778431315,D
2017-02-01,0.01370017482716915,D
2017-03-01,0.011638619720395336,D
2017-04-01,0.01749437729622698,D
2017-05-01,0.013482644659966242,D
2017-06-01,0.015545301802410472,D
2017-07-01,0.017643567896994315,D
2017-08-01,0.017828735975163625,D
2017-09-01,0.019463099111133027,D
2017-10-01,0.01929903156094492,D
2017-11-01,0.019558002432051018,D
2017-12-01,0.019875887599650463,D
2018-01-01,0.01860414900505855,D
2018-02-01,0.022611441777763024,D
2018-03-01,0.019927998779509782,D
2018-04-01,0.027378900033909418,D
2018-05-01,0.02541683138900332,D
2018-06-01,0.033572578579815555,D
2018-07-01,0.03715998970350434,D
2018-08-01,0.043433980042636516,D
2018-09-01,0.056557744781451785,D
2018-10-01,0.06259596124537681,D
2018-11-01,0.08798093614137469,D
2018-12-01,0.04064241171275055,D
2019-01-01,0.022074502853072414,D
2019-02-01,0.025191515191876564,D
2019-03-01,0.024976495525536945,D
2019-04-01,0.034136111424564144,D
2019-05-01,,D
2019-06-01,,D
2019-07-01,,D
2019-08-01,,D
2019-09-01,,D
2019-10-01,,D
2019-11-01,,D
2019-12-01,,D
2020-01-01,,D
2020-02-01,,D
2020-03-01,,D
2020-04-01,,D
2020-05-01,,D
2020-06-01,,D
2020-07-01,,D
2020-08-01,,D
2020-09-01,,D
2020-10-01,,D
2020-11-01,,D
2020-12-01,,D
2021-01-01,,D
2021-02-01,,D
2021-03-01,,D
2021-04-01,,D
2021-05-01,,D
2021-06-01,,D
2021-07-01,,D
2021-08-01,,D
2021-09-01,,D
2021-10-01,,D
2021-11-01,,D
2021-12-01,,D
2022-01-01,,D
2022-02-01,,D
2022-03-01,,D
2022-04-01,,D
2022-05-01,,D
2022-06-01,,D
2022-07-01,,D
2022-08-01,,D
2022-09-01,,D
2022-10-01,,D
2022-11-01,,D
2022-12-01,,D
2023-01-01,,D
2023-02-01,,D
2023-03-01,,D
2023-04-01,,D
2023-05-01,,D
2023-06-01,,D
2023-07-01,,D
2023-08-01,,D
2023-09-01,,D
2023-10-01,,D
2007-07-01,,E
2007-08-01,,E
2007-09-01,,E
2007-10-01,,E
2007-11-01,,E
2007-12-01,,E
2008-01-01,,E
2008-02-01,,E
2008-03-01,,E
2008-04-01,,E
2008-05-01,,E
2008-06-01,,E
2008-07-01,,E
2008-08-01,,E
2008-09-01,,E
2008-10-01,,E
2008-11-01,0.04319653370857236,E
2008-12-01,0.003859983619359581,E
2009-01-01,,E
2009-02-01,,E
2009-03-01,0.009583334381717035,E
2009-04-01,0.00695538222293362,E
2009-05-01,0.005437947897484264,E
2009-06-01,0.004224642125998634,E
2009-07-01,0.008165148460445972,E
2009-08-01,0.010195054550867472,E
2009-09-01,0.014833568082325574,E
2009-10-01,0.003149279463028749,E
2009-11-01,0.005164359074982825,E
2009-12-01,0.003583671090288887,E
2010-01-01,0.009607630294396782,E
2010-02-01,0.007199505275168221,E
2010-03-01,0.005126305190340414,E
2010-04-01,0.0029375839036315564,E
2010-05-01,0.0044210612259034665,E
2010-06-01,0.0008207922072616111,E
2010-07-01,0.002705401986288405,E
2010-08-01,0.0005643892598674212,E
2010-09-01,0.004006296335452756,E
2010-10-01,0.005087520457440832,E
2010-11-01,0.008771483056245496,E
2010-12-01,0.0036937222756155855,E
2011-01-01,0.0060643359480095135,E
2011-02-01,0.005087704071056102,E
2011-03-01,0.003703536251184656,E
2011-04-01,0.004550440119725597,E
2011-05-01,0.004566362474117401,E
2011-06-01,0.0032456015284818094,E
2011-07-01,0.005656197203327395,E
2011-08-01,0.004945210325511473,E
2011-09-01,0.005906793387685836,E
2011-10-01,0.004286574158665562,E
2011-11-01,0.004466508467307136,E
2011-12-01,0.0030610552853811953,E
2012-01-01,0.007042942220111541,E
2012-02-01,0.004401658709237136,E
2012-03-01,0.004235984947343849,E
2012-04-01,0.005892019444036008,E
2012-05-01,0.006672011743749833,E
2012-06-01,0.0039559531364996995,E
2012-07-01,0.005388071483484392,E
2012-08-01,0.005070360524939729,E
2012-09-01,0.008444046300347806,E
2012-10-01,0.0065452873406161615,E
2012-11-01,0.006151679046237251,E
2012-12-01,0.005075789293813749,E
2013-01-01,0.0025434828587950846,E
2013-02-01,0.006774765510713988,E
2013-03-01,0.004025093456853027,E
2013-04-01,0.004882952955842728,E
2013-05-01,0.00496396505173207,E
2013-06-01,0.006223447590666716,E
2013-07-01,0.006663083283773129,E
2013-08-01,0.0056847066063935,E
2013-09-01,0.006576057745454658,E
2013-10-01,0.0057223565871149925,E
2013-11-01,0.007950734156022344,E
2013-12-01,0.0057132125783600244,E
2014-01-01,0.0056218433531371095,E
2014-02-01,0.006605265660474308,E
2014-03-01,0.006542276506926634,E
2014-04-01,0.006821721303428031,E
2014-05-01,0.006281632415227331,E
2014-06-01,0.007170310146987004,E
2014-07-01,0.006949264319330577,E
2014-08-01,0.006421533658797999,E
2014-09-01,0.008060638886446163,E
2014-10-01,0.009521558485345897,E
2014-11-01,0.009192259235741263,E
2014-12-01,0.007000602263471709,E
2015-01-01,0.007073013692019144,E
2015-02-01,0.007265865506385723,E
2015-03-01,0.006274304665430291,E
2015-04-01,0.009484306644334877,E
2015-05-01,0.010066390116261877,E
2015-06-01,0.010368117070154233,E
2015-07-01,0.01038929532545059,E
2015-08-01,0.010295741356878375,E
2015-09-01,0.01099932526059643,E
2015-10-01,0.009683034275983254,E
2015-11-01,0.012644167359298339,E
2015-12-01,0.008960453332188938,E
2016-01-01,0.011524160594981082,E
2016-02-01,0.011252512685868936,E
2016-03-01,0.011282278045303303,E
2016-04-01,0.014256005322080888,E
2016-05-01,0.013115975666234375,E
2016-06-01,0.015279254577004953,E
2016-07-01,0.018640300670708473,E
2016-08-01,0.019083028051701326,E
2016-09-01,0.020772100748891277,E
2016-10-01,0.020492420749045198,E
2016-11-01,0.020016547705776957,E
2016-12-01,0.018732399949156455,E
2017-01-01,0.019032594260364657,E
