month_date,total_ecl,nco_amount,provision,alll_reserve,nco_coverage_ratio
2022-11-01,4504059.248504686,0.0,-780532.2483966313,4504059.248504686,
2022-12-01,3763539.196733269,0.0,-740520.0517714173,3763539.196733269,
2023-01-01,3178026.896996457,0.0,-585512.2997368118,3178026.896996457,
2023-02-01,2700027.4598342623,0.0,-477999.43716219487,2700027.4598342623,
2023-03-01,2196843.9487584415,0.0,-503183.5110758208,2196843.9487584415,
2023-04-01,1732084.4009825115,0.0,-464759.54777593,1732084.4009825115,
2023-05-01,1287632.1537169525,0.0,-444452.2472655589,1287632.1537169525,
2023-06-01,966579.4910093591,0.0,-321052.6627075934,966579.4910093591,
2023-07-01,698558.0880505502,0.0,-268021.40295880893,698558.0880505502,
2023-08-01,471523.03358752717,0.0,-227035.05446302303,471523.03358752717,
2023-09-01,314918.97381012427,0.0,-156604.0597774029,314918.97381012427,
2023-10-01,180002.77302022112,0.0,-134916.20078990315,180002.77302022112,
2023-11-01,77082.70762857981,0.0,-102920.06539164131,77082.70762857981,
